0,0,0
1,20,0
2,40,0
3,60,0
4,80,0
5,4,0
6,24,0
7,44,0
8,64,0
9,84,0
10,8,0
11,28,0
12,48,0
13,68,0
14,88,0
15,12,0
16,32,0
17,52,0
18,72,0
19,92,0
20,16,0
21,36,0
22,56,0
23,76,0
24,96,0
25,2,0
26,22,0
27,42,0
28,62,0
29,82,0
30,6,0
31,26,0
32,46,0
33,66,0
34,86,0
35,10,0
36,30,0
37,50,0
38,70,0
39,90,0
40,14,0
41,34,0
42,54,0
43,74,0
44,94,0
45,18,0
46,38,0
47,58,0
48,78,0
49,98,0
50,1,0
51,21,0
52,41,0
53,61,0
54,81,0
55,5,0
56,25,0
57,45,0
58,65,0
59,85,0
60,9,0
61,29,0
62,49,0
63,69,0
64,89,0
65,13,0
66,33,0
67,53,0
68,73,0
69,93,0
70,17,0
71,37,0
72,57,0
73,77,0
74,97,0
75,3,0
76,23,0
77,43,0
78,63,0
79,83,0
80,7,0
81,27,0
82,47,0
83,67,0
84,87,0
85,11,0
86,31,0
87,51,0
88,71,0
89,91,0
90,15,0
91,35,0
92,55,0
93,75,0
94,95,0
95,19,0
96,39,0
97,59,0
98,79,0
99,99,0
